Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,-2.35800706239769,2.23189679843934,-3.64333544007345,-12.6201089578522,-25.748751430756,-24.7800367689079,-15.781846710276,-21.0619026265545,-15.0321936668107,-18.8389410498187,-21.2316816069238,-19.6563931983544,-15.8333390427395
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.57581613520808,4.36453524429585,3.41400444390947,1.93570303554968,0.455363653443706,0.451055983077692,1.20312510873944,0.293038432389243,0.284095593578656,0.234965140617877,0.209790107431935,0.849679315295404,0.519439553284401,0.273100398078681,0.650734876576324,0.12132303904438,..
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8239343661.259,9164598457.75828,9655582953.49947,10990594706.8702,11421973771.0142,13865194313.5562,15856574731.441,15924179996.471,17954877146.145,18960483968.7729,19477070576.5166,19759744157.1511,20206376460.4766,20741239892.3851,20987900551.3602,21808863986.9923,21386910830.2407
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.41411798058979,11.2297148236429,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209,12.7522870887171,5.60074465808154,2.72454336394854,1.45131466009755,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423,-1.9347782488959
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,333.216617124072,357.234761652514,365.284370559754,405.548889275729,412.014212359158,488.300371326933,543.302967401909,528.736683125618,576.190088453246,587.565035491396,583.656017892664,574.18411426293,571.075388473724,571.445240851978,564.617039478352,573.287505805589,549.391787084908
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.87520316702623,7.20796721836321,2.25331064367975,11.0227871655922,1.59421545820915,18.5154192936617,11.264090568989,-2.68106105621827,8.97486534263294,1.9741656904729,-0.665291050796171,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424,-4.16819108714095
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,6.96759757507017,5.28345660398282,6.08796493020769,8.48175836103604,9.16975191915408,8.91679399595736,7.70780060287773,7.12277329020889,6.88210294277301,7.58538233129798,9.50265278288094,9.89845089688421,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,12.6862687216715,6.78459655001657,8.68057078513406,26.4186641547444,-6.81116108898995,2.1785375238942,11.8041858089129,6.44121280934118,7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,11.2714320712639,10.9127735539374,7.19975128908025,22.5277561997899,2.09628874882868,-2.16340442783005,3.81463031709113,16.5933467311629,7.30175647136595,4.82278547931649,0.566944540816536,2.44756300204637,-2.19752646590604,2.40365618844285,2.07134857890898,6.52147984507825,5.49747785416332
Afghanistan,AFG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,11.2714320712639,10.9127735539374,7.19975128908025,22.5277561997899,2.09628874882868,-2.16340442783005,3.81463031709113,16.5933467311629,7.30175647136595,4.82278547931649,0.566944540816536,2.44756300204637,-2.19752646590604,2.40365618844285,2.07134857890898,6.52147984507825,5.49747785416332
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,..,..,3,3,3,3.5,2.5,2.5,2.5,2.5,3,3,2.5,2.5,2.5,2.5,..
Afghanistan,AFG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,..,..,..,..,0.402819292924976,0.487686262693032,0.344156289997136,0.313643499018774,0.553390349525131,1.55478392301891,1.87526084674456,2.80585396332281,3.73588202243344,3.54864769227737,2.59522269404553,2.3907169420445,..
Afghanistan,AFG,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,..,..,9259252.2,4514050.9,7292000,9670000,8675000,9747904.9,9911879.8,11683362.4,21248292.7,27416416.2,30269882.9,30597878.7,32675060.7,32780041.6,..
